index,year,county,count,severity,rate,cost
2,2020,Clay,24,fatality,10890000,261360000
12,2020,Duval,187,fatality,10890000,2036430000
22,2020,Nassau,16,fatality,10890000,174240000
32,2020,St. Johns,39,fatality,10890000,424710000
4,2021,Clay,28,fatality,10890000,304920000
14,2021,Duval,191,fatality,10890000,2079990000
24,2021,Nassau,10,fatality,10890000,108900000
34,2021,St. Johns,37,fatality,10890000,402930000
6,2022,Clay,32,fatality,10890000,348480000
16,2022,Duval,150,fatality,10890000,1633500000
26,2022,Nassau,14,fatality,10890000,152460000
36,2022,St. Johns,35,fatality,10890000,381150000
8,2023,Clay,32,fatality,10890000,348480000
18,2023,Duval,167,fatality,10890000,1818630000
28,2023,Nassau,20,fatality,10890000,217800000
38,2023,St. Johns,39,fatality,10890000,424710000
13,2024,Clay,25,fatality,10890000,272250000
19,2024,Duval,156,fatality,10890000,1698840000
27,2024,Nassau,18,fatality,10890000,196020000
31,2024,St. Johns,23,fatality,10890000,250470000
