index,year,county,count,severity,rate,cost
0,2021,Clay,29,fatality,10890000,315810000
10,2021,Duval,191,fatality,10890000,2079990000
20,2021,Nassau,10,fatality,10890000,108900000
30,2021,St. Johns,37,fatality,10890000,402930000
2,2022,Clay,32,fatality,10890000,348480000
12,2022,Duval,150,fatality,10890000,1633500000
22,2022,Nassau,14,fatality,10890000,152460000
32,2022,St. Johns,35,fatality,10890000,381150000
4,2023,Clay,32,fatality,10890000,348480000
14,2023,Duval,165,fatality,10890000,1796850000
24,2023,Nassau,21,fatality,10890000,228690000
34,2023,St. Johns,41,fatality,10890000,446490000
6,2024,Clay,24,fatality,10890000,261360000
16,2024,Duval,153,fatality,10890000,1666170000
26,2024,Nassau,15,fatality,10890000,163350000
36,2024,St. Johns,23,fatality,10890000,250470000
8,2025,Clay,23,fatality,10890000,250470000
18,2025,Duval,172,fatality,10890000,1873080000
28,2025,Nassau,17,fatality,10890000,185130000
38,2025,St. Johns,31,fatality,10890000,337590000
